                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.99274,                0.54558,                 1.1038,                0.92583,                0.93371,                 0.9641,                0.73369,                0.99891,                 0.4834,                 1.1418,             0.00063676,             0.00063676,             0.00063676
                     86,                0.98291,                0.53713,                 1.0953,                0.94109,                0.91266,                0.96954,                0.73596,                0.99457,                0.47941,                 1.1368,             0.00062733,             0.00062733,             0.00062733
                     87,                0.97879,                 0.5363,                 1.0836,                0.93087,                0.92116,                 0.9675,                0.73897,                0.99547,                0.47992,                 1.1401,              0.0006179,              0.0006179,              0.0006179
                     88,                0.98457,                0.53169,                 1.0923,                 0.8721,                0.89057,                0.95068,                0.71866,                 1.0048,                0.54029,                 1.1426,             0.00060847,             0.00060847,             0.00060847
                     89,                0.98257,                0.54387,                 1.0938,                0.93996,                0.91181,                0.96163,                0.72615,                0.99408,                0.48851,                 1.1369,             0.00059904,             0.00059904,             0.00059904
                     90,                0.95252,                0.51704,                 1.0791,                0.93227,                0.92398,                0.96781,                0.74319,                0.98949,                0.47187,                 1.1322,             0.00058961,             0.00058961,             0.00058961
                     91,                0.97361,                0.52966,                 1.0938,                0.94796,                0.92679,                0.96643,                0.73524,                0.99967,                0.47535,                 1.1472,             0.00058017,             0.00058017,             0.00058017
                     92,                0.96779,                0.52066,                 1.0803,                0.93106,                0.91768,                0.96403,                0.73709,                0.99826,                0.49048,                 1.1421,             0.00057074,             0.00057074,             0.00057074
                     93,                0.96391,                0.51603,                 1.0839,                  0.918,                0.92787,                  0.964,                0.74334,                0.97754,                0.47312,                 1.1268,             0.00056131,             0.00056131,             0.00056131
                     94,                0.96022,                0.51977,                 1.0789,                0.91956,                0.93524,                0.95686,                0.73117,                0.98621,                0.47782,                 1.1344,             0.00055188,             0.00055188,             0.00055188
                     95,                0.96733,                0.52022,                 1.0847,                0.92013,                0.93119,                0.95829,                0.73559,                0.98358,                0.48462,                 1.1298,             0.00054245,             0.00054245,             0.00054245
                     96,                 0.9367,                0.51355,                 1.0698,                0.92145,                0.93917,                0.96251,                0.73618,                0.97997,                0.46823,                 1.1295,             0.00053302,             0.00053302,             0.00053302
                     97,                0.93925,                0.50266,                 1.0691,                0.93933,                0.92781,                0.96556,                 0.7436,                0.97214,                0.46943,                 1.1213,             0.00052359,             0.00052359,             0.00052359
