                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0526,                0.52558,                 1.1525,                0.97062,                0.95931,                0.98606,                0.75495,                 1.0424,                0.45007,                  1.167,             0.00091885,             0.00091885,             0.00091885
                     70,                 1.0587,                0.51497,                 1.1418,                0.97742,                0.96771,                0.98643,                0.75287,                  1.063,                0.44497,                 1.1803,             0.00090785,             0.00090785,             0.00090785
                     71,                 1.0506,                0.51788,                 1.1505,                0.98065,                0.97063,                0.99015,                0.76377,                 1.0588,                0.43924,                 1.1631,             0.00089685,             0.00089685,             0.00089685
                     72,                 1.0564,                0.50937,                 1.1408,                 0.9736,                 0.9706,                0.98811,                 0.7561,                 1.0642,                0.43722,                 1.1741,             0.00088584,             0.00088584,             0.00088584
                     73,                 1.0596,                0.50961,                 1.1485,                0.96545,                0.96845,                0.98792,                0.75842,                 1.0534,                  0.446,                 1.1663,             0.00087484,             0.00087484,             0.00087484
                     74,                 1.0574,                0.51344,                 1.1472,                0.97489,                0.96786,                 0.9894,                0.76085,                 1.0395,                0.43046,                 1.1586,             0.00086384,             0.00086384,             0.00086384
                     75,                 1.0431,                0.51223,                 1.1333,                0.96489,                0.97155,                  0.989,                0.76561,                 1.0284,                0.43211,                 1.1538,             0.00085284,             0.00085284,             0.00085284
                     76,                 1.0287,                0.49461,                 1.1203,                0.97033,                0.96917,                0.98905,                0.76783,                 1.0246,                0.43201,                  1.156,             0.00084184,             0.00084184,             0.00084184
                     77,                 1.0476,                0.51221,                 1.1368,                0.97651,                0.96135,                0.98776,                0.76173,                 1.0445,                0.44207,                 1.1704,             0.00083083,             0.00083083,             0.00083083
                     78,                 1.0364,                0.50439,                 1.1366,                0.97362,                0.96662,                0.98879,                0.76027,                 1.0313,                0.43474,                 1.1598,             0.00081983,             0.00081983,             0.00081983
                     79,                 1.0393,                0.50564,                 1.1422,                0.96437,                0.97533,                0.98967,                0.76826,                 1.0321,                0.43257,                 1.1576,             0.00080883,             0.00080883,             0.00080883
