                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0171,                0.62108,                 1.1135,                0.84687,                0.90503,                0.95207,                0.61078,                 1.2093,                0.70218,                 1.2103,              0.0008516,              0.0008516,              0.0008516
                     60,                0.99798,                0.66469,                 1.0833,                0.88072,                0.93984,                0.95688,                0.60656,                  1.185,                0.68674,                  1.191,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0152,                0.66886,                 1.0776,                0.88378,                0.96787,                0.96557,                0.62702,                 1.1608,                0.65535,                 1.1629,               0.000812,               0.000812,               0.000812
                     62,                 1.0411,                0.66228,                 1.0881,                 0.9581,                0.96364,                0.97243,                0.64321,                 1.1274,                0.62996,                 1.1393,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0629,                0.63521,                 1.1385,                 0.9581,                0.96364,                0.97243,                0.64321,                 1.1274,                0.62996,                 1.1393,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0004,                0.59685,                 1.0785,                0.93941,                0.96364,                0.96866,                0.65748,                 1.1228,                0.61745,                 1.1388,              0.0007526,              0.0007526,              0.0007526
                     65,                0.96528,                0.60183,                 1.0559,                0.92859,                0.94578,                0.97291,                0.67803,                 1.1323,                0.57738,                 1.1447,              0.0007328,              0.0007328,              0.0007328
                     66,                0.97261,                0.59496,                 1.0782,                0.92913,                 0.9536,                0.97278,                0.67561,                 1.1178,                0.56797,                 1.1289,               0.000713,               0.000713,               0.000713
                     67,                0.97643,                0.56083,                 1.0768,                0.92913,                 0.9536,                0.97278,                0.67561,                 1.1178,                0.56797,                 1.1289,              0.0006932,              0.0006932,              0.0006932
                     68,                0.97461,                0.59853,                 1.0896,                0.89707,                0.95082,                0.97284,                0.67801,                 1.0939,                0.59886,                 1.1183,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0018,                0.62163,                 1.1157,                 0.9232,                0.94545,                0.97292,                0.67588,                 1.1095,                0.60838,                 1.1297,              0.0006536,              0.0006536,              0.0006536
                     70,                0.96769,                0.55038,                  1.048,                0.94697,                0.97409,                 0.9824,                0.68109,                 1.1132,                  0.575,                 1.1266,              0.0006338,              0.0006338,              0.0006338
                     71,                0.99063,                0.56896,                 1.0858,                0.94697,                0.97409,                 0.9824,                0.68109,                 1.1132,                  0.575,                 1.1266,               0.000614,               0.000614,               0.000614
                     72,                 1.0187,                0.57654,                 1.0993,                0.94704,                0.97537,                0.98445,                0.68391,                 1.1154,                0.54871,                 1.1292,              0.0005942,              0.0005942,              0.0005942
                     73,                0.99328,                0.55295,                 1.0761,                0.96216,                0.98182,                0.98137,                0.65891,                 1.1709,                0.55134,                 1.1513,              0.0005744,              0.0005744,              0.0005744
                     74,                0.98984,                 0.5612,                 1.0843,                0.96221,                0.98182,                0.98188,                0.67178,                 1.1327,                0.51957,                 1.1369,              0.0005546,              0.0005546,              0.0005546
